,도고 까나리오_1,도고 까나리오_2,도고 까나리오_3,도고 까나리오_4,도고 까나리오_5,도고 까나리오_6,도고 까나리오_7,도고 까나리오_8,도고 까나리오_9,도고 까나리오_10,도고 까나리오_11,도고 까나리오_12,도고 까나리오_13,도고 까나리오_14,도고 까나리오_15,도고 까나리오_16,도고 까나리오_17,도고 까나리오_18,도고 까나리오_19,도고 까나리오_20
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58850860595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8389892578125,0.0
Veterinarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4631576538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.673583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.673583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.673583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.71501541137695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94039154052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.380313873291016,0.0,0.0,0.0,0.0,56.44834899902344,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.04025268554688,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.62731170654297,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.90684127807617,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6269416809082,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.13356018066406
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.23609924316406
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.527732849121094
