,시코쿠견_1,시코쿠견_2,시코쿠견_3,시코쿠견_4,시코쿠견_5,시코쿠견_6,시코쿠견_7,시코쿠견_8,시코쿠견_9,시코쿠견_10,시코쿠견_11,시코쿠견_12,시코쿠견_13,시코쿠견_14,시코쿠견_15,시코쿠견_16,시코쿠견_17,시코쿠견_18,시코쿠견_19,시코쿠견_20
Leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24884796142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24884796142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.42860412597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.00394439697266,58.22468185424805,56.467124938964844,91.18933868408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.00394439697266,0.0,56.467124938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.100807189941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.73699188232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.54249572753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.92031478881836,0.0,57.19800567626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.92031478881836,0.0,57.19800567626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
