,아이리시 워터 스패니얼_1,아이리시 워터 스패니얼_2,아이리시 워터 스패니얼_3,아이리시 워터 스패니얼_4,아이리시 워터 스패니얼_5,아이리시 워터 스패니얼_6,아이리시 워터 스패니얼_7,아이리시 워터 스패니얼_8,아이리시 워터 스패니얼_9,아이리시 워터 스패니얼_10,아이리시 워터 스패니얼_11,아이리시 워터 스패니얼_12,아이리시 워터 스패니얼_13,아이리시 워터 스패니얼_14,아이리시 워터 스패니얼_15,아이리시 워터 스패니얼_16,아이리시 워터 스패니얼_17,아이리시 워터 스패니얼_18,아이리시 워터 스패니얼_19,아이리시 워터 스패니얼_20
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.12153625488281,0.0,0.0,67.18299102783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35731506347656,0.0,0.0,0.0,0.0,0.0,0.0,94.66512298583984,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.69223022460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.69223022460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.69223022460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.69223022460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.69223022460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.66073608398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.12418746948242,0.0,78.06719970703125,0.0,0.0,0.0,0.0,0.0,0.0
Webpage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.44724655151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.85589599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.85589599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daffodil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.38025665283203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.78286743164062,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.78286743164062,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.78286743164062,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.78286743164062,0.0,0.0,0.0,0.0,0.0,0.0
Harness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.228858947753906,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.27073287963867
