,그레이하운드_1,그레이하운드_2,그레이하운드_3,그레이하운드_4,그레이하운드_5,그레이하운드_6,그레이하운드_7,그레이하운드_8,그레이하운드_9,그레이하운드_10,그레이하운드_11,그레이하운드_12,그레이하운드_13,그레이하운드_14,그레이하운드_15,그레이하운드_16,그레이하운드_17,그레이하운드_18,그레이하운드_19,그레이하운드_20
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5514144897461,0.0,0.0,0.0,0.0,0.0,92.02723693847656,0.0,0.0,0.0,99.58074188232422
Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.510948181152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.137939453125
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.997135162353516,0.0,0.0,0.0,0.0,0.0,67.28419494628906,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.997135162353516,0.0,0.0,0.0,0.0,0.0,67.28419494628906,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.61865997314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.62273025512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.62273025512695,0.0,0.0,0.0,0.0,0.0,59.39865493774414,0.0,0.0,0.0,0.0
Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.62273025512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19862747192383,0.0,0.0,64.34760284423828,64.84114074707031,56.70542907714844,67.69868469238281,0.0,0.0,0.0,0.0
Finger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7773666381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.66038131713867,67.6357421875,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.82112884521484,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.93695068359375,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.93695068359375,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.27650833129883,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.27650833129883,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6187744140625,0.0
Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.70576095581055,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.70576095581055,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.70576095581055,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3214111328125
Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.35696411132812
Lawn Mower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.76020812988281
Tool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.76020812988281
Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.28252029418945
