,사모예드_1,사모예드_2,사모예드_3,사모예드_4,사모예드_5,사모예드_6,사모예드_7,사모예드_8,사모예드_9,사모예드_10,사모예드_11,사모예드_12,사모예드_13,사모예드_14,사모예드_15,사모예드_16,사모예드_17,사모예드_18,사모예드_19,사모예드_20
Lesser Panda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.91353988647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.51207733154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.82415008544922,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.82415008544922,0.0,0.0,0.0,0.0,0.0,0.0
Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.82415008544922,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17301940917969,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17301940917969,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17301940917969,0.0,0.0,0.0,0.0,0.0,0.0
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8037109375,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.56800842285156,0.0,0.0,0.0,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.41895294189453,0.0,0.0,0.0,0.0,0.0,0.0
Scenery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.85977172851562,0.0,0.0,0.0,0.0,0.0
Panoramic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.85977172851562,0.0,0.0,0.0,0.0,0.0
Landscape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.85977172851562,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.05066680908203,0.0,0.0,0.0,0.0,0.0
Sky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.39739990234375,0.0,0.0,0.0,0.0,0.0
Ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.30912017822266,0.0,0.0,0.0,0.0,0.0
Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55616760253906,0.0,0.0,0.0,0.0,0.0
